"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","184","86","26","20","0","1","0","13","1","61","11980","22544","78","223","54","8278","412","43,569","33","2976"
"ANNE ARUNDEL","2111","1384","249","146","4","8","1","140","23","571","173660","129659","636","2198","345","97874","3067","407,439","133","31787"
"BALTIMORE CITY","3062","1584","177","66","4","3","2","71","22","345","302178","28214","896","1047","554","55672","3938","392,499","281","26003"
"BALTIMORE CO.","2468","1967","315","157","2","7","4","103","25","613","309062","137087","882","2451","575","107189","6365","563,611","223","38438"
"CALVERT","330","229","48","18","1","1","1","24","5","98","23894","27263","97","406","53","15565","592","67,870","41","5754"
"CAROLINE","120","61","19","10","0","0","0","20","0","49","6363","10298","33","108","32","4592","174","21,600","82","1251"
"CARROLL","280","144","38","32","0","2","0","17","3","92","33544","63221","190","781","81","28447","1106","127,370","80","7184"
"CECIL","310","190","41","16","0","1","0","31","4","93","20804","31356","105","428","85","16656","717","70,151","352","5599"
"CHARLES","873","449","58","21","1","0","0","29","4","113","73590","23242","126","405","126","21724","884","120,097","103","9769"
"DORCHESTER","110","56","9","5","0","0","0","3","0","17","9633","8864","21","102","28","3729","186","22,563","44","1077"
"FREDERICK","1069","597","137","72","2","5","0","91","4","311","75140","67509","310","1094","150","48142","1060","193,405","188","13456"
"GARRETT","78","38","12","2","0","0","0","8","2","24","3764","13518","26","97","19","2811","165","20,400","0","1185"
"HARFORD","842","485","117","66","0","2","0","79","8","272","65069","79004","236","1180","158","41173","1707","188,527","166","13408"
"HOWARD","1102","701","147","79","0","2","0","70","15","313","120218","49104","338","889","107","56553","2133","229,342","121","14455"
"KENT","48","23","14","11","1","1","1","3","3","34","5807","5127","18","60","19","2592","117","13,740","9","875"
"MONTGOMERY","4646","4895","968","482","7","16","5","376","86","1,940","406073","97649","1080","2181","372","159116","6102","672,573","1110","74406"
"PR. GEORGE'S","4594","2449","481","103","2","5","2","96","39","728","462550","37280","754","1281","488","84368","11269","597,990","14404","39182"
"QUEEN ANNE'S","156","79","21","13","0","1","1","12","0","48","11019","19298","45","218","30","8008","321","38,939","6","1972"
"ST. MARY'S","470","218","147","25","0","4","0","68","5","249","25836","30861","111","463","66","16957","660","74,954","617","7409"
"SOMERSET","76","22","6","3","0","0","0","5","0","14","5568","5879","21","64","13","2272","117","13,934","11","540"
"TALBOT","129","79","13","10","0","0","0","8","3","34","10755","11527","42","142","20","5679","268","28,433","12","1380"
"WASHINGTON","541","261","59","19","2","3","0","44","7","134","31234","43336","153","600","103","22060","929","98,415","92","10960"
"WICOMICO","344","154","32","20","0","1","0","19","2","74","26839","23588","97","334","90","13432","702","65,082","55","4466"
"WORCESTER","246","105","35","13","0","1","0","13","4","66","13852","18703","55","202","27","8365","501","41,705","68","3061"
"TOTAL","24,189","16,256","3,169","1,409","26","64","17","1,343","265","6,293","2,228,432","984,131","6,350","16,954","3,595","831,254","43,492","4,114,208","18,231","316,593"
