"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","","BAR UNAF","OTH","TOTAL","DEM","REP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","531","74","42","8","0","20","13","83","13176","21925","1","7475","692","43,269","351","2347"
"ANNE ARUNDEL","4713","1261","240","271","1","226","120","858","166197","135572","33","88175","4732","394,709","4781","21068"
"BALTIMORE CITY","9251","2262","263","156","0","199","118","736","303850","30312","33","50941","4397","389,533","4909","18919"
"BALTIMORE CO.","6972","2881","464","316","0","262","211","1,253","312676","143227","50","98106","8853","562,912","5298","21939"
"CALVERT","521","193","35","42","0","34","29","140","23856","27711","3","13976","949","66,495","45","3278"
"CAROLINE","393","46","13","7","0","6","9","35","6699","9650","0","4045","258","20,652","104","784"
"CARROLL","1212","334","79","97","0","65","36","277","32564","63774","8","25227","1834","123,407","676","5747"
"CECIL","630","201","39","26","0","38","18","121","21407","29039","5","14882","1132","66,465","249","5568"
"CHARLES","1167","324","73","41","0","42","12","168","69868","24614","9","19214","1130","114,835","530","6834"
"DORCHESTER","303","64","15","4","0","10","7","36","9781","8429","1","3215","220","21,646","126","957"
"FREDERICK","2492","619","101","127","0","144","86","458","66797","67685","15","41479","1815","177,791","576","10426"
"GARRETT","143","60","19","10","0","4","7","40","4046","13000","2","2602","254","19,904","38","1010"
"HARFORD","1489","546","134","119","0","81","78","412","64527","78704","20","37150","2622","183,023","553","8760"
"HOWARD","2636","786","100","166","1","175","83","525","111525","54459","15","50885","3328","220,212","1314","10692"
"KENT","113","29","6","2","0","4","5","17","5996","4851","2","2214","189","13,252","26","691"
"MONTGOMERY","6874","2765","317","321","1","431","221","1,291","396427","110561","33","147415","9568","664,004","7635","59780"
"PR. GEORGE'S","5667","2115","270","116","1","158","178","723","462588","39711","50","73663","13532","589,544","17178","31267"
"QUEEN ANNE'S","287","109","17","27","0","24","10","78","10726","18317","2","6968","499","36,512","7","1546"
"ST. MARY'S","570","213","40","53","2","28","38","161","25493","29738","6","15064","1019","71,320","63","6328"
"SOMERSET","175","50","7","3","0","2","8","20","5797","5471","0","1946","152","13,366","46","501"
"TALBOT","194","66","12","21","0","5","9","47","10321","11593","2","5023","392","27,331","5","1137"
"WASHINGTON","1203","294","96","59","0","40","44","239","32147","43028","5","19958","1491","96,629","498","7846"
"WICOMICO","616","183","42","38","1","31","31","143","26435","23244","6","11913","941","62,539","638","3210"
"WORCESTER","398","106","27","16","0","18","14","75","13862","17454","0","7289","613","39,218","276","2418"
"TOTAL","48,550","15,581","2,451","2,046","7","2,047","1,385","7,936","2,196,761","1,012,069","301","748,825","60,612","4,018,568","45,922","233,053"
