"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","97","50","12","7","0","0","1","9","0","29","16,084","19,601","125","14","124","5,356","425","41,729","970","2,230"
"ANNE ARUNDEL","1,248","451","71","53","1","1","5","69","2","202","141,612","118,817","798","90","1,143","61,486","161","324,107","5,068","25,435"
"BALTIMORE CITY","1,115","820","63","48","4","0","6","67","10","198","290,843","32,124","1,407","46","719","41,140","1,403","367,682","11,260","16,249"
"BALTIMORE CO.","2,500","1,049","125","75","1","0","5","58","9","273","279,196","124,857","1,292","97","1,524","63,720","5,284","475,970","1,235","51,838"
"CALVERT","88","55","9","7","0","0","0","7","1","24","22,428","21,936","116","14","156","9,759","494","54,903","17","4,618"
"CAROLINE","36","47","6","2","0","0","0","3","0","11","7,101","7,327","32","8","49","2,844","109","17,470","0","1,253"
"CARROLL","245","116","23","17","0","0","4","8","0","52","32,642","54,268","247","63","322","16,744","776","105,062","27","6,962"
"CECIL","160","141","16","5","1","0","0","14","1","37","23,317","22,265","133","31","198","11,048","816","57,808","526","8,021"
"CHARLES","148","102","26","19","0","1","0","17","4","67","50,749","24,217","135","22","196","13,647","550","89,516","59","8,996"
"DORCHESTER","46","18","1","0","0","0","0","1","1","3","9,939","6,843","22","4","40","2,149","141","19,138","90","1,176"
"FREDERICK","359","460","24","24","1","0","3","27","2","81","51,185","57,147","363","37","474","26,757","51","136,014","703","8,531"
"GARRETT","41","16","5","3","1","0","0","4","1","14","4,811","11,280","37","5","42","1,800","180","18,155","2","1,140"
"HARFORD","639","283","47","25","1","0","0","26","1","100","61,687","63,642","287","41","553","23,089","752","150,051","930","7,514"
"HOWARD","403","246","45","45","4","0","1","30","2","127","85,171","54,531","447","48","600","34,668","1,821","177,286","195","19,542"
"KENT","33","70","3","2","0","0","1","0","0","6","5,929","4,368","37","3","37","1,580","130","12,084","1","1,078"
"MONTGOMERY","1,162","754","108","73","2","0","8","105","7","303","322,354","120,628","1,433","75","1,483","123,582","672","570,227","318","32,669"
"PR. GEORGE'S","1,562","737","86","33","1","0","4","50","32","206","408,846","46,558","743","70","772","45,487","21,924","524,400","86","8,327"
"QUEEN ANNE'S","50","11","7","6","0","0","2","8","1","24","11,081","14,315","59","8","93","4,475","200","30,231","25","1,308"
"ST. MARY'S","103","51","8","10","0","0","0","8","1","27","23,995","23,336","135","14","196","10,233","494","58,403","19","5,831"
"SOMERSET","26","28","4","2","0","0","0","1","0","7","6,975","4,357","20","4","29","1,543","118","13,046","82","747"
"TALBOT","27","19","6","6","0","0","0","3","2","17","9,825","10,820","52","8","81","3,571","302","24,659","10","3,051"
"WASHINGTON","387","115","15","19","0","0","3","16","1","54","30,906","36,891","227","30","244","14,394","100","82,792","24","7,507"
"WICOMICO","868","73","16","5","1","0","1","11","2","36","25,281","20,144","117","14","170","8,393","673","54,792","1,116","3,206"
"WORCESTER","101","37","9","3","0","0","0","8","1","21","15,084","13,673","67","5","98","5,222","406","34,555","98","3,219"
"TOTAL","11,444","5,749","735","489","18","2","44","550","81","1,919","1,937,041","913,945","8,331","751","9,343","532,687","37,982","3,440,080","22,861","230,448"
