COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,112,55,15,12,1,0,8,2,38,"16,531","19,341",113,50,"4,356",438,"40,829",437,"3,362"
ANNE ARUNDEL,"1,908",319,87,114,4,4,73,6,288,"136,696","119,760",858,648,"55,632",161,"313,755","4,867","14,857"
BALTIMORE CITY,910,398,12,8,1,1,14,0,36,"262,208","31,754","1,597",386,"34,921","1,121","331,987",691,"18,320"
BALTIMORE CO.,962,624,96,81,3,2,48,8,238,"267,143","124,089","1,277",823,"53,736","5,909","452,977",842,"37,752"
CALVERT,51,37,11,14,2,0,7,1,35,"20,438","20,546",102,91,"7,946",517,"49,640",112,"4,406"
CAROLINE,21,35,2,4,0,0,2,1,9,"6,721","6,460",24,48,"2,314",143,"15,710",14,"1,402"
CARROLL,170,133,32,29,0,0,11,1,73,"32,143","51,011",221,158,"13,781",36,"97,350",81,"5,330"
CECIL,84,49,16,27,1,1,17,5,67,"22,578","20,783",121,109,"9,321",749,"53,661",71,"3,113"
CHARLES,104,95,13,28,0,0,11,0,52,"38,139","24,324",101,92,"11,361",934,"74,951",19,"6,767"
DORCHESTER,24,26,1,4,0,0,1,1,7,"9,438","6,553",20,18,"1,887",188,"18,104",95,761
FREDERICK,278,263,28,42,0,1,32,0,103,"44,453","54,058",321,222,"21,523",43,"120,620",577,"10,803"
GARRETT,29,6,3,6,0,0,1,1,11,"4,836","10,570",30,29,"1,296",195,"16,956",9,"1,128"
HARFORD,344,392,40,39,0,1,26,5,111,"58,972","58,353",246,242,"17,843",396,"136,052",195,"10,393"
HOWARD,632,327,29,51,0,2,49,6,137,"74,048","52,870",416,317,"28,357","1,774","157,782",129,"24,274"
KENT,33,16,2,4,0,0,1,2,9,"5,900","4,218",40,13,"1,429",126,"11,726",3,270
MONTGOMERY,"1,273",725,109,161,2,2,142,11,427,"274,983","122,741","1,362",763,"105,181","1,700","506,730","17,581","42,220"
PR. GEORGE'S,870,352,28,23,0,2,32,34,119,"328,715","47,704",627,466,"29,319","33,590","440,421","5,778","24,401"
QUEEN ANNE'S,20,5,2,6,0,0,2,0,10,"10,764","13,150",54,74,"3,756",244,"28,042",11,"1,184"
ST. MARY'S,58,40,7,7,1,0,3,0,18,"21,752","20,136",125,87,"7,976",565,"50,641",2,"4,010"
SOMERSET,102,16,2,0,0,0,4,0,6,"7,013","3,957",12,10,"1,326",108,"12,426",238,410
TALBOT,52,19,1,6,1,0,0,0,8,"9,964","11,047",60,68,"3,462",335,"24,936",93,"1,611"
WASHINGTON,277,128,16,35,1,2,12,2,68,"29,762","35,633",205,144,"11,298",973,"78,015",24,"7,297"
WICOMICO,724,58,14,11,0,0,7,0,32,"22,963","18,856",92,90,"7,078",598,"49,677","1,618","3,299"
WORCESTER,75,19,7,6,0,0,7,1,21,"14,808","12,689",55,59,"4,475",426,"32,512",9,"2,736"
TOTAL,"9,113","4,137",573,718,17,18,510,87,"1,923","1,720,968","890,603","8,079","5,007","439,574","51,269","3,115,500","33,496","230,106"
