COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,WCP_ACTIVE,BAR_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,303,80,64,22,0,2,0,1,12,3,104,12828,22965,77,207,26,21,7890,402,"44,416",40,1518
ANNE ARUNDEL,4721,2058,349,334,6,25,3,2,221,41,981,177399,137631,574,2008,215,117,92962,2750,"413,656",2813,14581
BALTIMORE CITY,7098,3748,604,216,13,12,6,0,325,72,"1,248",315251,30592,813,981,320,137,53813,3426,"405,333",112,10851
BALTIMORE CO.,4508,3261,742,389,8,24,20,2,589,185,"1,959",318162,144963,912,2307,332,144,102985,5896,"575,701",733,19995
CALVERT,328,160,22,38,0,0,0,0,12,8,80,24493,28211,90,348,34,22,14382,571,"68,151",1479,3475
CAROLINE,113,44,8,8,0,0,0,0,3,1,20,6625,10281,33,88,18,2,4307,169,"21,523",238,713
CARROLL,1046,439,135,133,2,11,0,0,172,39,492,34014,65182,166,692,47,33,26614,1063,"127,811",197,3686
CECIL,549,154,39,30,1,1,0,0,24,2,97,21770,31602,108,367,50,9,15544,728,"70,178",388,2952
CHARLES,1074,629,141,64,1,3,2,0,59,11,281,74001,25124,114,364,89,21,20551,778,"121,042",533,4582
DORCHESTER,239,72,33,25,0,2,0,0,17,5,82,9949,8944,19,87,14,4,3458,152,"22,627",70,490
FREDERICK,2505,1104,195,192,6,6,2,2,174,11,588,74245,70205,284,989,90,57,44745,840,"191,455",2,5628
GARRETT,135,25,7,8,0,0,0,0,2,1,18,3990,13689,21,88,13,5,2682,156,"20,644",128,592
HARFORD,1770,601,156,134,2,6,3,0,117,38,456,66906,81149,237,1006,80,52,38892,1554,"189,876",1632,7453
HOWARD,2078,1122,222,232,1,10,0,3,174,39,681,121460,53526,318,843,64,51,53977,2046,"232,285",38,6232
KENT,68,29,4,4,0,0,0,0,1,1,10,6023,5082,19,50,11,2,2357,118,"13,662",3,512
MONTGOMERY,923,1324,401,205,11,26,12,1,710,120,"1,486",418912,107346,1067,2086,233,182,151970,5760,"687,556",870,41832
PR. GEORGE'S,1379,2509,406,130,9,18,17,4,519,158,"1,261",478934,40339,714,1182,278,140,79350,11099,"612,036",2001,15612
QUEEN ANNE'S,379,117,44,30,1,1,0,0,30,5,111,11248,19478,43,196,13,5,7421,284,"38,688",52,830
ST. MARY'S,655,295,64,46,1,4,1,1,20,10,147,26873,31510,102,400,40,20,16151,615,"75,711",215,4066
SOMERSET,54,32,9,2,0,0,0,0,7,1,19,5771,5832,22,53,8,5,2107,95,"13,893",40,288
TALBOT,159,60,9,8,0,0,0,0,4,2,23,10864,11861,30,119,13,4,5313,253,"28,457",97,769
WASHINGTON,1147,492,128,82,0,3,0,1,57,14,285,32760,44868,136,525,55,24,20861,867,"100,096",177,5891
WICOMICO,1062,378,55,50,0,3,0,0,45,15,168,27614,24059,98,315,47,15,12664,661,"65,473",455,2367
WORCESTER,654,262,78,52,1,3,1,0,47,10,192,14278,18735,52,186,12,8,7816,460,"41,547",673,1561
TOTAL,"32,947","18,995","3,915","2,434",63,160,67,17,"3,341",792,"10,789","2,294,370","1,033,174","6,049","15,487","2,102","1,080","788,812","40,743","4,181,817","12,986","156,476"
