"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","368","161","51","32","0","2","28","11","124","11367","22907","0","256","8886","568","43,984","1115","2852"
"ANNE ARUNDEL","3841","3405","726","373","0","32","309","50","1,490","174068","129158","0","2452","103905","4276","413,859","4089","32622"
"BALTIMORE CITY","5122","2425","437","78","0","6","90","28","639","296532","28113","0","1153","61252","5853","392,903","5451","25639"
"BALTIMORE CO.","5814","4305","970","308","0","22","317","87","1,704","307691","136739","0","2621","115864","7812","570,727","4368","34036"
"CALVERT","448","477","112","79","0","3","66","10","270","23557","27977","0","458","16222","730","68,944","687","5619"
"CAROLINE","174","82","35","17","0","1","14","4","71","6091","10671","0","123","4843","257","21,985","151","1459"
"CARROLL","802","835","149","121","0","9","105","19","403","33300","63380","0","853","30051","1336","128,920","1433","7185"
"CECIL","500","516","253","57","0","4","138","13","465","20130","32884","0","482","17619","928","72,043","1879","5638"
"CHARLES","1128","929","280","67","0","5","54","23","429","74781","22870","1","440","23894","1197","123,183","799","10364"
"DORCHESTER","228","100","29","10","0","0","7","5","51","9520","9165","0","113","4144","259","23,201","164","1055"
"FREDERICK","1656","1196","258","110","0","10","164","24","566","77559","67614","0","1220","52074","1736","200,203","1123","15359"
"GARRETT","125","96","25","16","0","2","9","2","54","3602","13736","0","114","3048","203","20,703","521","1157"
"HARFORD","1579","1179","296","158","0","10","136","24","624","64624","80276","0","1238","43971","2217","192,326","1153","13023"
"HOWARD","2161","1948","480","180","0","16","203","28","907","121417","48105","0","955","60900","2502","233,879","1169","15192"
"KENT","110","86","24","12","0","0","12","2","50","5780","5251","0","66","2748","146","13,991","213","849"
"MONTGOMERY","4802","2532","654","126","0","13","319","63","1,175","406622","96478","0","2290","166632","7136","679,158","7945","67848"
"PR. GEORGE'S","3999","1632","406","52","0","6","99","56","619","454604","37744","0","1487","94187","12405","600,427","10566","42987"
"QUEEN ANNE'S","363","426","60","31","0","0","27","4","122","11085","19985","0","230","8725","395","40,420","258","2225"
"ST. MARY'S","703","459","106","80","0","5","75","17","283","25000","31814","0","488","17644","834","75,780","2079","7684"
"SOMERSET","125","58","16","11","0","1","9","3","40","5481","6115","0","66","2464","163","14,289","66","525"
"TALBOT","255","182","43","28","0","0","13","5","89","10667","11671","0","155","6005","280","28,778","460","1533"
"WASHINGTON","1030","713","192","87","0","8","81","18","386","30981","44088","0","642","23464","1150","100,325","1447","10989"
"WICOMICO","572","369","107","54","0","2","35","13","211","26377","23971","0","358","14530","896","66,132","607","4617"
"WORCESTER","414","209","64","32","0","1","33","4","134","13611","19425","0","230","8965","568","42,799","417","3091"
"TOTAL","36,319","24,320","5,773","2,119","0","158","2,343","513","10,906","2,214,447","990,137","1","18,490","892,037","53,847","4,168,959","48,160","313,548"
