COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,WCP_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,325,113,50,25,0,5,0,28,9,117,11968,22633,78,218,57,8340,417,"43,711",0,2954
ANNE ARUNDEL,3123,1662,315,179,3,13,2,274,22,808,174071,129942,640,2230,355,98426,3108,"408,772",0,31490
BALTIMORE CITY,3749,2218,228,89,8,3,2,133,12,475,302082,28162,895,1057,575,56035,3970,"392,776",0,25718
BALTIMORE CO.,5958,2970,483,186,2,16,3,246,51,987,309893,137429,900,2473,599,108021,6414,"565,729",0,37952
CALVERT,538,252,68,27,1,1,0,51,6,154,23925,27381,95,406,56,15655,592,"68,110",0,5707
CAROLINE,140,65,20,5,0,1,0,30,1,57,6375,10363,34,107,32,4581,176,"21,668",0,1226
CARROLL,1004,494,99,73,3,6,0,108,17,306,33638,63585,189,797,87,28651,1105,"128,052",0,7009
CECIL,364,241,44,24,1,3,0,30,1,103,20835,31459,107,432,89,16724,719,"70,365",0,5554
CHARLES,1045,501,79,21,0,2,0,37,4,143,73805,23248,130,405,130,21878,886,"120,482",0,9712
DORCHESTER,120,77,12,10,0,0,0,11,1,34,9637,8888,21,104,29,3757,188,"22,624",0,1063
FREDERICK,1110,670,88,86,1,5,0,126,9,315,75412,67599,310,1111,153,48334,1069,"193,988",0,13379
GARRETT,117,49,14,8,0,0,0,13,1,36,3757,13563,26,100,20,2830,167,"20,463",0,1187
HARFORD,1579,657,167,68,2,13,1,128,12,391,65171,79288,240,1182,165,41371,1718,"189,135",40,13285
HOWARD,1316,714,127,78,1,8,0,134,10,358,120502,49132,346,881,116,56789,2139,"229,905",0,14336
KENT,85,35,18,4,0,3,1,10,1,37,5817,5151,18,61,19,2603,117,"13,786",0,871
MONTGOMERY,5731,3588,503,325,6,13,1,420,55,"1,323",407196,97645,1090,2198,392,159952,6130,"674,603",0,73855
PR. GEORGE'S,5312,2723,485,97,4,8,3,131,40,768,462823,37322,762,1298,521,85202,11314,"599,242",0,38627
QUEEN ANNE'S,266,100,15,11,1,2,0,14,4,47,11055,19361,43,218,31,8044,316,"39,068",0,1959
ST. MARY'S,841,296,153,26,3,5,1,83,6,277,25803,31123,112,468,70,17028,663,"75,267",0,7324
SOMERSET,154,36,19,3,1,0,0,5,1,29,5583,5901,22,64,12,2294,116,"13,992",0,539
TALBOT,221,112,19,14,0,1,0,27,3,64,10778,11572,43,143,20,5710,271,"28,537",0,1368
WASHINGTON,998,340,78,30,0,8,0,47,12,175,31323,43503,156,604,106,22250,932,"98,874",0,10854
WICOMICO,624,250,62,31,1,2,0,51,11,158,26869,23688,97,339,95,13518,706,"65,312",0,4433
WORCESTER,279,127,38,19,0,0,0,22,5,84,13855,18784,55,208,28,8425,502,"41,857",3,3040
TOTAL,"34,999","18,290","3,184","1,439",38,118,14,"2,159",294,"7,246","2,232,173","986,722","6,409","17,104","3,757","836,418","43,735","4,126,318",43,"313,442"
