"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","LIB","UNAF","OTH","TOTAL","DEM","REP","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","149","89","15","15","4","10","4","48","11419","22883","256","8863","566","43,987","11","2781"
"ANNE ARUNDEL","1606","1209","247","117","13","179","30","586","174797","129227","2446","103379","4255","414,104","189","31585"
"BALTIMORE CITY","2426","1484","265","45","9","86","38","443","297787","28107","1156","60868","5836","393,754","14","25558"
"BALTIMORE CO.","2690","2202","394","123","20","153","72","762","308433","136406","2610","115267","7785","570,501","53","32911"
"CALVERT","212","212","35","14","1","18","4","72","23656","27934","456","16148","723","68,917","15","5507"
"CAROLINE","79","52","15","7","1","8","2","33","6132","10672","123","4814","257","21,998","1","1405"
"CARROLL","378","355","60","37","2","41","9","149","33418","63354","859","29948","1338","128,917","24","6879"
"CECIL","273","251","72","27","4","44","2","149","20396","32651","484","17601","935","72,067","44","5384"
"CHARLES","363","286","55","22","0","21","6","104","74908","22817","436","23548","1194","122,903","24","10070"
"DORCHESTER","102","50","19","6","0","3","1","29","9544","9142","111","4117","258","23,172","3","1046"
"FREDERICK","832","652","127","68","5","86","25","311","77654","67582","1213","51889","1738","200,076","19","14814"
"GARRETT","45","52","8","5","0","0","4","17","3650","13754","115","3025","200","20,744","16","1087"
"HARFORD","678","514","89","59","5","75","19","247","64916","80227","1240","43778","2210","192,371","89","12671"
"HOWARD","828","701","166","58","2","96","9","331","121649","48013","961","60408","2494","233,525","7","14902"
"KENT","50","31","6","2","1","3","0","12","5790","5252","66","2738","148","13,994","22","841"
"MONTGOMERY","1465","1751","391","96","8","186","45","726","407955","96472","2290","166230","7139","680,086","324","66134"
"PR. GEORGE'S","1630","1183","315","39","5","154","77","590","455749","37729","1471","93831","12423","601,203","3","42198"
"QUEEN ANNE'S","155","82","18","9","1","11","1","40","11133","19976","230","8676","394","40,409","2","2091"
"ST. MARY'S","274","203","41","25","3","21","5","95","25091","31776","484","17539","839","75,729","51","7519"
"SOMERSET","47","22","9","6","0","4","1","20","5498","6104","67","2443","161","14,273","0","507"
"TALBOT","121","83","18","12","1","9","1","41","10703","11670","156","5947","279","28,755","1","1533"
"WASHINGTON","384","274","44","30","2","27","11","114","31092","44068","643","23315","1136","100,254","17","10766"
"WICOMICO","273","196","42","18","2","21","9","92","26481","23975","355","14421","900","66,132","4","4521"
"WORCESTER","154","113","22","12","3","22","5","64","13666","19409","228","8946","569","42,818","8","2976"
"TOTAL","15,214","12,047","2,473","852","92
1,278","","380","5,075","2,221,517","989,200","18,456","887,739","53,777","4,170,689","941","305,686"
