"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","86","46","15","10","1","1","0","0","8","0","35","16,600","19,280","127","6","270","98","4,767","460","41,608","51","3,034"
"ANNE ARUNDEL","1,048","541","132","116","2","0","9","3","157","1","420","143,496","117,026","803","43","3,403","961","56,472","91","322,295","2,225","27,270"
"BALTIMORE CITY","781","436","65","23","0","0","4","0","30","3","125","288,635","31,449","1,415","20","1,488","644","37,485","1,348","362,484","495","21,303"
"BALTIMORE CO.","902","916","131","86","2","0","5","2","60","11","297","285,486","124,494","1,270","44","3,497","1,291","58,204","5,634","479,920","1,440","37,137"
"CALVERT","56","50","5","17","0","0","1","0","11","0","34","22,981","21,624","111","9","428","135","9,079","519","54,886","20","3,830"
"CAROLINE","18","14","9","2","0","0","0","0","1","0","12","7,493","7,066","36","3","158","53","2,759","83","17,651","3","1,140"
"CARROLL","274","94","61","52","1","0","2","0","20","5","141","33,429","52,544","239","16","1,053","264","15,467","26","103,038","241","6,489"
"CECIL","127","31","15","12","0","0","1","0","9","0","37","24,115","21,988","134","17","493","190","10,379","755","58,071","246","6,050"
"CHARLES","198","183","22","29","0","0","0","1","18","0","70","48,671","24,492","130","7","885","177","12,307","560","87,229","20","7,372"
"DORCHESTER","48","16","4","3","0","0","0","0","3","0","10","10,246","6,738","25","1","117","39","2,023","154","19,343","29","1,184"
"FREDERICK","291","214","39","29","0","0","1","2","40","0","111","51,243","56,072","347","17","1,222","383","24,285","40","133,609","27","11,423"
"GARRETT","27","15","2","3","1","0","0","0","1","0","7","5,063","10,942","32","3","126","37","1,558","203","17,964","5","1,410"
"HARFORD","1,951","689","50","40","0","0","2","1","23","3","119","63,139","61,488","273","19","1,292","459","20,545","661","147,876","3,451","6,917"
"HOWARD","431","307","39","44","1","0","4","0","29","29","146","83,774","53,547","434","16","2,041","471","30,487","1,774","172,544","924","16,007"
"KENT","21","10","5","1","0","0","0","0","4","0","10","6,173","4,319","41","2","94","29","1,482","128","12,268","31","759"
"MONTGOMERY","862","413","71","54","0","0","6","6","81","3","221","319,136","122,688","1,408","30","7,045","1,201","110,170","2,539","564,217","4,456","48,219"
"PR. GEORGE'S","881","637","46","30","0","0","1","1","39","26","143","396,492","46,521","679","25","2,201","652","37,494","25,979","510,043","34","9,651"
"QUEEN ANNE'S","27","16","10","8","0","0","0","1","6","1","26","11,120","13,533","63","3","200","93","3,928","219","29,159","16","2,299"
"ST. MARY'S","174","59","17","15","0","0","1","1","12","1","47","24,638","22,326","144","7","395","159","9,437","560","57,666","12","4,750"
"SOMERSET","15","9","5","3","0","0","0","0","1","0","9","7,290","4,040","19","1","87","16","1,388","108","12,949","0","891"
"TALBOT","41","27","5","3","0","0","1","0","4","0","13","9,987","10,712","49","0","146","69","3,322","307","24,592","7","3,368"
"WASHINGTON","368","102","33","29","0","0","1","0","5","440","508","32,130","36,573","216","18","1,426","226","12,865","220","83,674","111","6,844"
"WICOMICO","161","88","26","7","0","0","0","0","10","0","43","24,995","19,269","100","9","432","130","7,409","551","52,895","13","4,239"
"WORCESTER","107","57","17","6","0","0","0","1","7","2","33","15,425","13,262","68","1","299","92","4,784","455","34,386","25","2,992"
"TOTAL","8,895","4,970","824","622","8","1","39","19","579","525","2,617","1,931,757","901,993","8,163","317","28,798","7,869","478,096","43,374","3,400,367","13,882","234,578"
