COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,96,38,9,12,1,1,5,2,30,"16,418","19,187",109,46,"4,324",439,"40,523",419,"2,317"
ANNE ARUNDEL,"1,073",450,100,92,7,6,105,1,311,"130,793","114,419",811,635,"52,700",142,"299,500","7,732","30,194"
BALTIMORE CITY,"2,388",801,195,304,54,13,833,45,"1,444","265,501","31,924","1,564",401,"34,962","1,157","335,509",278,"18,091"
BALTIMORE CO.,"1,133",921,96,103,4,3,77,22,305,"267,577","124,265","1,281",857,"54,601","5,935","454,516",203,"37,261"
CALVERT,59,32,14,17,0,0,11,2,44,"20,497","20,610",108,93,"8,054",519,"49,881",15,"54,249"
CAROLINE,20,42,6,2,0,0,5,0,13,"6,733","6,509",24,48,"2,346",149,"15,809",4,"1,387"
CARROLL,118,92,22,14,2,1,15,2,56,"32,206","51,170",219,169,"13,923",34,"97,721",76,"5,307"
CECIL,108,35,18,13,0,2,9,4,46,"22,262","20,883",122,110,"9,429",755,"53,561",114,"3,213"
CHARLES,138,88,16,11,0,1,9,3,40,"38,471","24,392",103,95,"11,535",942,"75,538",20,"6,658"
DORCHESTER,38,16,3,7,0,0,2,1,13,"9,427","6,530",24,20,"1,890",186,"18,077",154,813
FREDERICK,347,215,19,43,1,1,25,0,89,"44,792","54,222",325,228,"21,806",48,"121,421",30,"10,669"
GARRETT,41,9,3,4,0,0,1,1,9,"4,844","10,603",30,30,"1,327",193,"17,027",7,"1,110"
HARFORD,447,"1,558",54,51,1,2,24,0,132,"59,097","58,472",249,244,"18,054",428,"136,544",255,"10,376"
HOWARD,496,441,35,62,1,2,60,12,172,"74,139","52,703",423,321,"28,568","1,784","157,938","2,735","17,066"
KENT,20,8,5,2,0,0,2,1,10,"5,915","4,226",39,16,"1,442",125,"11,763",11,264
MONTGOMERY,"1,329",666,101,139,6,3,168,6,423,"270,673","120,034","1,331",771,"103,385","1,739","497,933",682,"52,360"
PR. GEORGE'S,"1,150",331,67,52,4,0,45,71,239,"329,196","47,423",626,485,"30,388","33,200","441,318","2,678","16,662"
QUEEN ANNE'S,33,10,6,11,1,0,9,3,30,"10,785","13,204",55,74,"3,800",240,"28,158",93,"1,211"
ST. MARY'S,123,54,10,14,0,1,13,1,39,"21,898","20,235",127,90,"8,099",563,"51,012",26,"3,989"
SOMERSET,94,7,1,0,0,0,3,0,4,"6,979","3,953",13,12,"1,333",108,"12,398",516,402
TALBOT,30,28,7,3,0,0,8,1,19,"10,003","11,110",61,68,"3,498",336,"25,076",3,"1,612"
WASHINGTON,274,115,23,36,1,3,18,2,83,"29,869","35,705",207,149,"11,446",975,"78,351",21,"7,262"
WICOMICO,112,40,8,6,0,0,10,1,25,"22,546","18,522",92,86,"6,920",587,"48,753",54,"3,377"
WORCESTER,73,14,7,11,0,0,3,0,21,"14,839","12,716",55,61,"4,519",438,"32,628",35,"2,711"
TOTAL,"9,740","6,011",825,"1,009",83,39,"1,460",181,"3,597","1,715,460","883,017","7,998","5,109","438,349","51,022","3,100,955","16,161","288,561"
