"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","145","220","17","6","0","0","0","0","5","0","28","16,785","19,367","131","5","173","97","4,790","471","41,819","1,151","2,670"
"ANNE ARUNDEL","1,220","975","51","92","1","0","2","1","78","2","227","143,824","117,493","808","30","2,353","931","56,653","89","322,181","3,779","34,362"
"BALTIMORE CITY","1,035","638","62","33","2","0","1","1","49","6","154","290,218","31,578","1,440","13","1,041","603","37,445","1,374","363,712","1,693","20,797"
"BALTIMORE CO.","1,084","1,523","95","92","3","0","2","4","65","4","265","291,632","127,572","1,300","29","2,375","1,261","59,761","5,885","489,815","897","34,236"
"CALVERT","92","62","9","17","0","0","0","0","11","0","37","22,841","21,460","114","6","260","129","8,987","536","54,333","13","5,439"
"CAROLINE","29","47","6","4","0","0","0","0","10","2","22","7,572","7,125","34","3","120","53","2,795","85","17,787","85","873"
"CARROLL","129","111","20","48","1","0","2","0","18","0","89","33,959","53,004","243","8","702","251","15,597","31","103,795","24","5,670"
"CECIL","97","309","12","13","0","0","0","0","13","4","42","24,002","21,806","135","10","274","184","10,252","765","57,428","49","5,762"
"CHARLES","170","260","11","16","0","0","0","1","11","0","39","48,054","24,574","122","5","643","169","12,220","573","86,360","397","6,908"
"DORCHESTER","57","26","3","0","0","0","1","0","2","0","6","10,253","6,758","23","1","72","37","2,006","157","19,307","40","1,189"
"FREDERICK","644","228","20","50","0","0","4","0","37","0","111","51,259","55,909","337","16","808","369","24,200","37","132,935","130","13,394"
"GARRETT","44","17","3","5","0","0","0","0","1","0","9","5,058","10,934","32","2","87","36","1,556","206","17,911","8","1,421"
"HARFORD","597","2,491","44","30","0","0","2","0","20","2","98","63,492","61,596","269","13","901","442","20,433","671","147,817","799","7,348"
"HOWARD","700","445","17","33","1","0","5","0","29","27","112","84,450","54,176","450","14","1,543","438","30,762","1,860","173,693","542","14,011"
"KENT","23","21","1","2","0","0","0","0","1","0","4","6,198","4,278","38","2","55","26","1,485","125","12,207","28","775"
"MONTGOMERY","1,307","916","94","118","5","0","7","3","153","7","387","318,810","123,746","1,407","21","5,750","1,166","109,736","2,571","563,207","352","46,712"
"PR. GEORGE'S","797","448","39","34","0","0","2","0","27","15","117","396,070","46,769","665","12","1,600","643","36,824","26,475","509,058","568","10,374"
"QUEEN ANNE'S","53","15","6","6","0","0","0","0","5","0","17","11,477","13,874","63","2","123","89","4,058","230","29,916","520","1,935"
"ST. MARY'S","165","38","10","13","0","0","1","0","12","2","38","25,086","22,651","149","5","243","154","9,671","579","58,538","181","3,837"
"SOMERSET","18","21","0","1","0","0","0","1","1","0","3","7,304","4,048","20","1","45","14","1,391","107","12,930","54","903"
"TALBOT","34","28","4","5","0","0","1","1","1","1","13","10,224","10,886","53","0","76","68","3,416","318","25,041","18","2,691"
"WASHINGTON","259","278","14","22","0","1","0","1","15","2","55","32,090","36,458","213","13","498","210","12,609","926","83,017","1,490","6,979"
"WICOMICO","253","158","17","12","0","0","1","1","12","1","44","24,850","19,107","96","4","257","120","7,304","564","52,302","152","4,941"
"WORCESTER","74","30","11","6","0","0","0","0","7","0","24","15,416","13,158","66","0","173","82","4,753","458","34,106","24","3,598"
"TOTAL","9,026","9,305","566","658","13","1","31","14","583","75","1,941","1,940,924","908,327","8,208","215","20,172","7,572","478,704","45,093","3,409,215","12,994","236,825"
