"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","220","57","18","13","0","1","1","11","3","47","15,291","20,106","1","112","171","6,099","402","42,182","624","2,976"
"ANNE ARUNDEL","1,653","649","145","161","0","4","1","81","5","397","149,148","124,622","25","828","1,531","73,829","249","350,232","9,973","22,853"
"BALTIMORE CITY","2,520","1,342","108","59","1","3","3","53","11","238","297,506","30,615","55","1,247","969","45,340","1,374","377,106","9,716","37,972"
"BALTIMORE CO.","4,372","1,930","287","221","0","7","11","85","41","652","296,624","131,442","28","1,286","2,004","80,212","5,517","517,113","11,726","32,295"
"CALVERT","450","253","27","18","0","0","0","11","0","56","23,449","23,621","3","133","224","11,637","481","59,548","2,359","3,773"
"CAROLINE","78","44","12","8","0","1","0","4","1","26","7,296","7,758","2","31","71","3,318","144","18,620","393","1,286"
"CARROLL","430","216","44","32","1","1","1","24","6","109","32,783","57,795","8","274","482","20,784","982","113,108","1,229","4,096"
"CECIL","309","218","20","16","0","1","0","8","1","46","23,304","23,949","8","131","253","12,787","673","61,105","753","5,717"
"CHARLES","539","248","35","42","0","0","1","31","6","115","56,577","24,702","6","117","282","15,897","538","98,119","3,499","7,136"
"DORCHESTER","123","44","8","9","0","0","0","3","0","20","10,472","7,151","2","27","54","2,576","122","20,404","251","1,371"
"FREDERICK","2,447","505","83","97","0","5","4","58","2","249","54,234","60,222","13","398","671","32,357","106","148,001","4,799","9,101"
"GARRETT","58","49","5","4","0","0","0","3","0","12","4,682","11,781","0","39","64","2,176","191","18,933","784","1,056"
"HARFORD","802","445","111","76","0","1","3","24","18","233","62,586","67,497","8","299","756","28,572","1,205","160,923","845","7,696"
"HOWARD","1,269","367","67","83","0","0","3","35","19","207","93,000","56,576","8","486","813","41,925","2,370","195,178","44","10,358"
"KENT","45","26","6","1","0","0","0","2","0","9","6,145","4,581","0","34","56","1,843","132","12,791","118","671"
"MONTGOMERY","2,039","798","98","58","0","1","0","72","7","236","350,283","123,470","29","1,504","1,951","144,036","3,191","624,464","24,402","36,060"
"PR. GEORGE'S","4,153","2,359","152","76","0","2","4","85","70","389","447,896","45,614","50","767","1,031","59,057","17,569","571,984","9,258","19,608"
"QUEEN ANNE'S","157","65","13","10","0","0","0","10","1","34","11,339","15,569","4","56","137","5,787","204","33,096","552","854"
"ST. MARY'S","410","221","20","14","0","0","0","9","0","43","25,575","25,976","11","139","273","12,680","444","65,098","850","3,514"
"SOMERSET","59","38","9","1","0","0","0","2","2","14","6,869","4,581","6","16","24","1,640","106","13,242","363","1,182"
"TALBOT","117","62","15","9","0","0","0","2","1","27","10,040","11,113","1","51","99","4,287","241","25,832","1,049","1,488"
"WASHINGTON","510","243","55","30","1","1","3","25","5","120","31,376","38,630","17","218","357","16,924","321","87,843","791","6,624"
"WICOMICO","331","102","26","17","0","1","1","10","4","59","26,381","21,081","12","114","224","10,098","606","58,516","869","3,495"
"WORCESTER","195","98","18","14","0","0","0","6","5","43","15,060","14,651","8","75","144","6,351","350","36,639","603","2,760"
"TOTAL","23,286","10,379","1,382","1,069","3","29","36","654","208","3,381","2,057,916","953,103","305","8,382","12,641","640,212","37,518","3,710,077","85,850","223,942"
