COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,267,88,34,14,1,5,39,3,96,"14,468","20,997",113,241,"6,858",314,"42,991",2,"2,796"
ANNE ARUNDEL,"3,782","1,523",381,307,9,15,381,25,"1,118","158,100","135,494",806,"2,310","79,585",791,"377,086",41,"25,443"
BALTIMORE CITY,"5,352","2,548",397,175,11,29,367,35,"1,014","306,126","31,956","1,201","1,310","44,862","1,416","386,871",153,"41,212"
BALTIMORE CO.,"5,847","3,305",609,334,16,27,705,58,"1,749","306,606","142,767","1,347","2,846","88,232","4,342","546,140",169,"30,078"
CALVERT,552,316,57,47,0,5,79,3,191,"23,552","25,857",140,380,"12,593",389,"62,911",24,"4,683"
CAROLINE,145,73,17,10,1,1,26,5,60,"6,858","8,766",28,113,"3,623",129,"19,517",2,"1,261"
CARROLL,982,321,101,110,3,7,125,14,360,"32,459","62,991",247,762,"22,825",788,"120,072",19,"5,682"
CECIL,439,204,47,22,1,3,43,4,120,"22,364","27,293",136,387,"13,750",566,"64,496",7,"6,579"
CHARLES,"1,120",593,107,51,1,2,122,9,292,"64,110","26,204",135,418,"17,274",463,"108,604",39,"7,223"
DORCHESTER,178,68,28,8,3,3,12,1,55,"10,199","7,852",25,105,"2,905",112,"21,198",6,"1,349"
FREDERICK,"1,906",737,173,128,3,9,208,6,527,"60,658","66,184",411,"1,062","36,531",262,"165,108",43,"10,492"
GARRETT,128,64,12,8,0,0,13,0,33,"4,443","12,502",39,90,"2,389",146,"19,609",7,"1,094"
HARFORD,"1,765",767,196,132,4,13,263,28,636,"64,011","75,647",343,"1,143","32,780","1,085","175,009",21,"9,487"
HOWARD,"2,310","1,284",232,194,9,15,367,42,859,"102,483","57,293",462,"1,114","44,421","1,842","207,615",57,"12,081"
KENT,85,52,15,8,0,1,12,1,37,"6,061","4,704",22,56,"1,956",115,"12,914",0,892
MONTGOMERY,"15,785","6,963","1,069",765,33,59,"2,286",207,"4,419","381,791","122,053","1,561","2,708","143,025","4,100","655,238",120,"60,588"
PR. GEORGE'S,"7,855","4,063",542,222,11,20,666,133,"1,594","450,755","42,915",892,"1,394","63,091","12,249","571,296",314,"60,720"
QUEEN ANNE'S,290,151,27,18,0,1,41,5,92,"10,841","17,333",74,207,"6,299",175,"34,929",5,"2,065"
ST. MARY'S,810,374,84,69,0,5,98,9,265,"25,780","29,118",120,466,"13,660",403,"69,547",12,"5,564"
SOMERSET,97,39,9,4,0,0,13,2,28,"6,006","5,073",16,39,"1,686",76,"12,896",4,"1,605"
TALBOT,239,121,14,18,0,1,26,5,64,"9,985","11,658",42,135,"4,753",190,"26,763",8,"1,505"
WASHINGTON,994,408,130,60,5,3,111,4,313,"32,156","41,909",235,600,"18,527",380,"93,807",100,"7,512"
WICOMICO,556,233,55,34,2,4,65,7,167,"26,029","22,241",136,347,"10,479",435,"59,667",13,"5,096"
WORCESTER,465,211,42,25,3,1,44,3,118,"14,412","16,223",83,215,"6,803",306,"38,042",41,"2,952"
TOTAL,"51,949","24,506","4,378","2,763",116,229,"6,112",609,"14,207","2,140,253","1,015,030","8,614","18,448","678,907","31,074","3,892,326","1,207","307,959"
