"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","288","75","20","14","0","0","1","8","1","44","15,636","20,247","1","121","154","6,100","403","42,662","39","2,254"
"ANNE ARUNDEL","2,557","538","123","157","0","5","12","75","9","381","149,767","125,306","26","839","1,412","72,821","247","350,418","2,386","19,598"
"BALTIMORE CITY","7,719","756","39","41","0","0","1","28","7","116","310,931","32,502","53","1,356","934","47,120","1,494","394,390","25,331","18,203"
"BALTIMORE CO.","10,423","4,404","524","460","1","15","17","173","100","1,290","304,150","134,590","27","1,342","1,895","79,629","5,864","527,497","2,784","19,487"
"CALVERT","674","180","28","28","0","0","2","15","3","76","23,443","23,496","2","133","200","11,390","510","59,174","932","3,943"
"CAROLINE","151","38","9","4","0","0","2","5","1","21","7,281","7,717","2","33","61","3,196","142","18,432","24","1,311"
"CARROLL","398","80","11","17","0","0","0","4","2","34","32,820","57,416","8","264","412","19,923","1,007","111,850","166","3,666"
"CECIL","556","235","19","27","0","0","0","16","3","65","23,878","24,086","7","134","242","12,804","705","61,856","1,345","4,304"
"CHARLES","1,418","210","31","43","0","1","2","32","3","112","56,087","24,896","7","121","229","15,623","538","97,501","1,107","6,431"
"DORCHESTER","221","32","14","9","0","0","0","4","0","27","10,570","7,178","2","25","45","2,522","124","20,466","72","1,173"
"FREDERICK","1,318","714","55","68","1","2","0","28","2","156","54,284","60,463","12","394","580","31,807","87","147,627","51","7,652"
"GARRETT","65","34","8","4","0","0","0","3","1","16","4,701","11,713","0","38","52","2,085","197","18,786","42","1,007"
"HARFORD","1,662","366","87","96","0","0","5","32","14","234","63,218","67,513","9","296","663","27,632","1,195","160,526","224","6,594"
"HOWARD","2,082","310","47","77","0","3","0","37","27","191","92,589","57,065","9","477","736","40,668","2,492","194,036","1,765","8,400"
"KENT","94","24","2","4","0","0","0","1","0","7","6,132","4,562","0","32","50","1,759","135","12,670","274","704"
"MONTGOMERY","3,376","1,191","131","150","2","4","10","110","16","423","350,600","125,064","30","1,493","1,806","142,519","3,223","624,735","979","32,918"
"PR. GEORGE'S","8,372","2,919","177","175","0","1","5","111","102","571","454,268","47,439","49","766","980","58,415","18,985","580,902","311","6,147"
"QUEEN ANNE'S","292","82","16","16","0","0","0","8","2","42","11,531","15,624","4","59","119","5,658","208","33,203","462","1,258"
"ST. MARY'S","656","167","16","28","0","0","1","18","1","64","25,711","26,029","9","140","255","12,575","456","65,175","470","2,299"
"SOMERSET","139","34","5","2","0","0","0","2","0","9","7,022","4,574","6","17","23","1,620","114","13,376","21","1,322"
"TALBOT","155","62","8","8","0","0","0","6","1","23","10,049","11,046","1","49","90","4,161","259","25,655","69","1,409"
"WASHINGTON","807","234","38","60","0","0","1","24","6","129","31,895","38,655","18","228","330","16,574","303","88,003","84","5,375"
"WICOMICO","860","191","34","43","0","3","2","7","5","94","26,115","20,804","11","111","201","9,658","653","57,553","237","3,066"
"WORCESTER","453","162","26","18","0","1","0","11","1","57","15,042","14,566","7","69","124","6,131","358","36,297","406","2,497"
"TOTAL","44,736","13,038","1,468","1,549","4","35","61","758","307","4,182","2,087,720","962,551","300","8,537","11,593","632,390","39,699","3,742,790","39,581","161,018"
