COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,IND,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,IND_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,78,34,11,9,0,0,0,0,1,0,21,"16,614","19,285",129,5,259,97,"4,761",460,"41,610",18,"3,040"
ANNE ARUNDEL,540,254,52,59,2,0,3,1,61,1,179,"143,248","116,846",802,41,"3,169",946,"56,345",88,"321,485","3,570","26,353"
BALTIMORE CITY,579,305,35,14,0,0,2,1,32,4,88,"288,613","31,423","1,413",19,"1,400",636,"37,382","1,349","362,235",82,"22,392"
BALTIMORE CO.,"1,041",918,89,86,0,0,3,5,63,10,256,"285,390","124,436","1,261",43,"3,287","1,272","57,997","5,638","479,324",295,"38,043"
CALVERT,91,46,11,10,0,0,0,0,5,1,27,"22,971","21,622",111,8,399,134,"9,071",522,"54,838",20,"3,837"
CAROLINE,27,22,2,2,0,0,1,0,0,0,5,"7,487","7,051",36,3,156,53,"2,754",83,"17,623",14,"1,139"
CARROLL,194,64,14,19,0,0,0,0,11,0,44,"33,502","52,580",241,13,991,261,"15,467",31,"103,086",125,"6,387"
CECIL,122,32,19,12,1,0,1,0,8,0,41,"24,095","21,944",134,15,456,187,"10,328",756,"57,915",34,"6,082"
CHARLES,138,120,16,13,0,0,0,0,10,4,43,"48,490","24,454",130,7,845,174,"12,249",560,"86,909",26,"7,402"
DORCHESTER,54,15,9,4,0,0,0,0,1,0,14,"10,249","6,741",25,1,113,39,"2,018",154,"19,340",19,"1,192"
FREDERICK,302,233,16,22,1,0,0,2,26,0,67,"51,165","56,002",343,17,"1,153",374,"24,211",39,"133,304",85,"11,478"
GARRETT,34,15,3,3,0,0,0,0,2,0,8,"5,068","10,935",33,3,123,36,"1,558",204,"17,960",4,"1,412"
HARFORD,727,373,38,24,0,0,1,0,18,1,82,"63,114","61,442",269,18,"1,224",460,"20,495",661,"147,683","1,135","7,170"
HOWARD,411,205,25,35,1,0,2,0,26,4,93,"83,688","53,504",434,15,"1,946",463,"30,411","1,792","172,253","1,433","15,989"
KENT,12,10,1,0,0,0,0,0,0,0,1,"6,182","4,309",40,2,88,28,"1,479",127,"12,255",153,759
MONTGOMERY,967,511,75,71,2,0,10,0,115,4,277,"319,305","122,874","1,406",30,"6,906","1,200","110,143","2,546","564,410","2,406","47,427"
PR. GEORGE'S,810,566,52,25,1,0,2,1,34,23,138,"396,300","46,530",675,23,"2,094",652,"37,361","26,052","509,687",73,"9,722"
QUEEN ANNE'S,38,16,7,5,0,0,2,0,1,0,15,"11,112","13,489",63,3,183,93,"3,926",218,"29,087",22,"2,313"
ST. MARY'S,69,9,1,0,0,0,0,0,11,0,12,"24,626","22,259",144,6,366,157,"9,385",562,"57,505",26,"4,745"
SOMERSET,19,9,3,4,0,0,0,0,0,0,7,"7,297","4,035",19,1,83,16,"1,391",107,"12,949",0,896
TALBOT,36,32,2,4,1,0,0,1,5,0,13,"9,972","10,690",49,0,134,69,"3,311",307,"24,532",9,"3,371"
WASHINGTON,211,101,23,5,0,0,0,0,9,1,38,"32,162","36,593",215,18,749,227,"12,848",858,"83,670",1,"6,795"
WICOMICO,137,53,6,6,0,0,0,0,7,0,19,"24,999","19,260",99,9,402,127,"7,395",551,"52,842",8,"4,272"
WORCESTER,85,22,16,11,0,0,0,0,2,0,29,"15,438","13,210",70,0,275,90,"4,781",457,"34,321",73,"2,975"
TOTAL,"6,722","3,965",526,443,9,0,27,11,448,53,"1,517","1,931,087","901,514","8,141",300,"26,801","7,791","477,067","44,122","3,396,823","9,631","235,191"
