COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,91,58,14,9,1,9,0,10,3,46,"15,838","19,522",125,5,128,"5,391",416,"41,425",50,"2,735"
ANNE ARUNDEL,"1,055",595,125,82,1,94,9,110,4,425,"142,877","120,117",819,0,"1,190","63,167",247,"328,417",30,"26,405"
BALTIMORE CITY,"1,129",835,81,49,3,43,4,86,11,277,"293,829","32,365","1,395",0,750,"41,938","1,446","371,723",121,"15,690"
BALTIMORE CO.,"1,181",860,159,66,3,101,9,93,22,453,"280,563","125,596","1,306",0,"1,569","65,670","5,377","480,081",258,"51,024"
CALVERT,120,62,12,14,0,15,1,14,2,58,"22,536","22,146",117,0,162,"9,958",509,"55,428",120,"4,055"
CAROLINE,24,24,8,2,0,8,0,5,3,26,"7,100","7,366",36,0,52,"2,890",119,"17,563",6,"1,224"
CARROLL,163,101,29,22,1,27,3,15,5,102,"32,762","54,663",264,35,335,"17,155",776,"105,990",15,"5,033"
CECIL,215,77,12,11,1,11,1,5,1,42,"23,458","22,529",136,23,212,"11,332",805,"58,495",53,"8,041"
CHARLES,174,87,23,22,0,9,0,19,2,75,"51,254","24,298",136,15,203,"13,909",548,"90,363",65,"8,971"
DORCHESTER,59,33,2,3,0,3,0,6,1,15,"9,935","6,872",21,0,48,"2,172",135,"19,183",40,"1,188"
FREDERICK,313,330,38,24,4,13,0,29,1,109,"51,631","57,822",375,0,508,"27,623",83,"138,042",49,"8,359"
GARRETT,37,5,6,3,0,1,0,1,0,11,"4,800","11,321",39,5,45,"1,857",186,"18,253",3,"1,132"
HARFORD,386,317,54,22,1,42,5,47,4,175,"61,422","63,709",298,0,550,"23,553",776,"150,308",593,"7,980"
HOWARD,396,205,57,36,3,10,3,53,6,168,"86,284","55,140",448,37,625,"35,813","1,834","180,181",22,"19,160"
KENT,34,19,4,3,0,3,0,1,0,11,"5,907","4,398",38,0,39,"1,569",135,"12,086",5,"1,079"
MONTGOMERY,"1,094",525,114,46,3,0,4,75,5,247,"322,981","120,295","1,448",77,"1,532","125,160",755,"572,248",70,"36,322"
PR. GEORGE'S,"1,203",879,103,33,2,8,1,76,55,278,"412,141","46,715",756,61,794,"47,356","21,655","529,478",71,"8,263"
QUEEN ANNE'S,37,16,11,12,0,0,0,4,1,28,"11,107","14,460",58,8,96,"4,639",198,"30,566",22,"1,304"
ST. MARY'S,95,99,12,14,0,3,1,16,2,48,"24,118","23,649",144,13,199,"10,491",482,"59,096",43,"5,859"
SOMERSET,20,11,3,3,0,0,0,3,0,9,"6,971","4,408",21,5,29,"1,575",113,"13,122",6,765
TALBOT,28,11,5,3,0,3,0,3,0,14,"9,824","10,820",51,6,89,"3,649",296,"24,735",7,"2,952"
WASHINGTON,375,133,30,21,0,34,3,26,2,116,"31,113","37,214",236,0,265,"14,858",122,"83,808",61,"7,499"
WICOMICO,174,116,22,9,1,13,1,10,6,62,"24,411","19,671",111,1,164,"8,159",675,"53,192",42,"4,688"
WORCESTER,100,67,11,7,0,6,1,13,2,40,"15,117","13,788",67,0,101,"5,385",403,"34,861",14,"2,365"
TOTAL,"8,503","5,465",935,516,24,456,46,720,138,"2,835","1,947,979","918,884","8,445",291,"9,685","545,269","38,091","3,468,644","1,766","232,093"
