"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL
159
1,266
2,264
2,026
227
104
451
203
482
89
534
35
453
918
42
4,110
3,410
83
275
48
76
337
228
72","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","351","202","38","43","0021","","","","49","26","","16,936","19,642","132","2","26","85","4,849","498","42,170","36","2,637"
"ANNE ARUNDEL","2,808","1,970","247","299","9","0","5","14","676","16","","146,761","121,113","852","17","1,098","893","58,606","97","329,437","303","26,111"
"BALTIMORE CITY","10,450","7,078","391","659","39","0","3","17","1,096","59","","293,573","32,585","1,492","7","593","568","37,921","1,403","368,142","262","15,437"
"BALTIMORE CO.","5,288","4,631","485","444","15","0","8","11","970","93","","298,781","131,875","1,358","15","1,133","1,187","61,745","6,233","502,327","2,930","19,289"
"CALVERT","495","416","41","83","5004","","","","80","14","","23,263","22,220","118","2","105","120","9,157","568","55,553","40","3,746"
"CAROLINE","110","127","12","19","0031","","","","35","34","","7,493","7,093","29","3","87","51","2,747","94","17,597","41","1,290"
"CARROLL","511","656","86","102","2000","","","","259","2","","34,598","54,138","245","4","402","220","15,815","28","105,450","18","5,374"
"CECIL","432","97","72","59","1000","","","","63","8","","26,190","23,878","140","3","116","186","11,306","824","62,643","121","883"
"CHARLES","772","541","62","132","2012","","","","232","51","","48,257","25,626","127","7","394","151","12,546","627","87,735","24","5,778"
"DORCHESTER","233","199","31","25","0000","","","","30","3","","10,250","6,770","24","1","40","35","2,060","172","19,352","68","1,353"
"FREDERICK","1,214","598","93","124","5035","","","","300","4","","51,643","56,885","349","3","464","328","24,543","48","134,263","190","10,634"
"GARRETT","97","12","12","14","00007","","","","","2","","5,132","11,115","30","3","21","34","1,562","207","18,104","0","980"
"HARFORD","1,174","1,421","109","116","5025","","","","193","23","","64,714","62,374","269","9","353","394","20,833","707","149,653","212","9,728"
"HOWARD","1,758","1,945","113","184","4084","","","","522","83","","84,788","55,268","455","5","747","413","31,481","1,955","175,112","283","15,982"
"KENT","117","74","7","16","0000","","","","17","2","","6,422","4,476","48","8","27","22","1,635","129","12,767","15","203"
"MONTGOMERY","8,780","11,276","560","578","38","0","32","24","2,708","170","","315,089","124,543","1,384","9","3,189","1,059","109,726","2,671","557,670","112","48,080"
"PR. GEORGE'S","12,291","4,990","480","664","13","0","17","19","1,365","852","","385,852","46,923","664","7","909","588","35,477","27,000","497,420","10","12,024"
"QUEEN ANNE'S","130","112","20","19","1000","","","","39","4","","11,316","13,685","61","1","70","85","3,885","231","29,334","32","1,991"
"ST. MARY'S","671","231","66","72","2000","","","","129","6","","24,898","22,455","144","0","97","138","9,416","595","57,743","8","3,647"
"SOMERSET","235","100","13","10","0001","","","","24","0","","7,413","4,061","16","0","18","13","1,445","104","13,070","0","673"
"TALBOT","248","103","18","29","0001","","","","27","1","","10,118","10,801","54","0","40","68","3,301","307","24,689","25","3,721"
"WASHINGTON","860","405","72","96","4002","","","","129","34","","32,884","37,672","228","0","190","215","12,990","999","85,178","12","6,479"
"WICOMICO","712","437","48","62","2023","","","","103","8","","24,928","19,389","102","0","84","116","7,663","603","52,885","40","3,957"
"WORCESTER","236","158","21","13","0002","","","","31","5","","15,524","13,211","63","0","32","89","4,945","487","34,351","10","3,123"
"TOTAL","49,973","37,779","3,097","3,862","147","0","86","116","9,084","1,500","17,892","1,946,823","927,798","8,384","106","10,235","7,058","485,654","46,587","3,432,645","4,792","203,120"
