"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1,623","530","10","1","87","5","590","16","2,862","853","BOARD ACTION","33","4","0","0","0","0","11","0","48"
"BY MAIL","41,722","9,289","122","11","2,705","242","12,939","313","67,343","4,913","COUNTY TRANSFER - OUT","12,501","3,942","112","1","1","63","3,879","375","20,874"
"DESIGNATED STATE AGENCIES","354","53","3","0","4","1","97","4","516","6","CRIMINAL CONVICTION","41","13","0","0","0","2","8","0","64"
"ELDERLY / DISABLED","135","14","0","0","3","0","5","0","157","174","DEATH NOTICE","1,906","671","1","0","0","3","139","28","2,748"
"FROM ANOTHER BOARD","1,975","338","11","1","53","9","451","14","2,852","396","DUPLICATE","255","67","3","0","1","2","57","1","386"
"PROVISIONAL BALLOT","37","5","0","0","1","0","3","0","46","207","MAIL VERIFICATION (NVRA)","32","11","0","0","1","1","5","0","50"
"IN PERSON","5,900","1,485","25","3","284","33","1,589","27","9,346","622","MENTAL INCOMPETENCY","4","1","0","0","0","0","0","0","5"
"MOTOR VEHICLE ADMINISTRATION","13,956","3,524","60","1","315","125","5,160","79","23,220","2,306","MOVED OUT OF STATE","751","464","10","0","2","8","345","19","1,599"
"NVRA BY MAIL","3,584","1,087","12","1","91","34","1,257","11","6,077","228","OTHER","561","98","3","0","3","5","180","9","859"
"OTHER MEANS","2,590","411","8","1","57","9","625","22","3,723","2,091","VOTER REQUEST","11","7","0","0","0","0","5","0","23"
"RECRUITING","54","20","0","0","8","0","20","0","102","21","CONFIRMATION MAIL","202","74","0","0","4","1","61","7","349"
"SOCIAL SERVICES","230","27","3","0","4","3","54","0","321","20","","","","","","","","","",""
"VOLUNTEER","8,173","643","24","2","105","29","1,444","27","10,447","0","","","","","","","","","",""
"TOTAL","80,333","17,426","278","21","3,717","490","24,234","513","127,012","11,837","TOTAL","16,297","5,352","129","1","12","85","4,690","439","27,005"
