COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,WCP_ACTIVE,BAR_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,144,42,12,40,0,1,1,0,3,2,59,12603,22550,77,210,29,21,7832,411,"43,733",8,2098
ANNE ARUNDEL,1724,847,131,466,0,5,0,2,88,25,717,175275,133829,569,2024,229,117,92427,2819,"407,289",312,20435
BALTIMORE CITY,2224,1304,170,91,2,4,1,0,58,15,341,310389,29668,804,967,338,141,53066,3501,"398,874",1,16662
BALTIMORE CO.,2578,1505,213,404,3,9,0,1,110,21,761,316196,142268,906,2336,365,145,102930,6020,"571,166",642,25012
CALVERT,248,143,16,72,0,1,0,0,16,4,109,24261,27702,85,356,35,22,14377,576,"67,414",61,4310
CAROLINE,106,33,11,18,0,0,0,0,2,1,32,6562,10214,31,90,18,2,4327,171,"21,415",10,819
CARROLL,476,205,36,158,1,2,0,1,25,9,232,33820,64162,167,708,50,35,26777,1094,"126,813",146,4890
CECIL,250,166,32,56,0,1,0,0,15,2,106,21494,31221,107,377,51,13,15594,733,"69,590",0,3657
CHARLES,516,256,81,82,0,2,1,0,50,7,223,73417,24506,111,355,92,21,20405,788,"119,695",32,6209
DORCHESTER,100,56,7,17,0,2,0,0,1,3,30,9845,8817,19,86,15,5,3435,161,"22,383",43,713
FREDERICK,864,422,68,216,0,3,1,1,46,5,340,73688,68566,278,980,99,57,44654,885,"189,207",3054,8579
GARRETT,51,25,4,22,0,0,0,0,5,1,32,3925,13479,23,92,13,5,2642,159,"20,338",15,830
HARFORD,849,328,74,188,1,2,0,0,41,7,313,66344,79897,234,1037,84,54,38944,1579,"188,173",271,9011
HOWARD,858,416,71,250,1,6,0,0,48,12,388,120322,51882,317,836,70,52,53743,2024,"229,246",207,9588
KENT,48,24,4,11,0,0,0,0,2,1,18,5981,5026,20,50,11,2,2370,125,"13,585",4,584
MONTGOMERY,3789,3332,403,"1,147",3,13,3,1,253,72,"1,895",414079,104180,1041,2081,253,182,151428,5745,"678,989",625,54335
PR. GEORGE'S,3638,2923,410,197,0,3,2,0,171,77,860,471220,39126,700,1168,290,144,78146,10897,"601,691",32827,25531
QUEEN ANNE'S,157,68,16,38,1,2,0,0,3,1,61,11155,19187,45,206,13,6,7489,290,"38,391",6,1167
ST. MARY'S,326,160,34,69,0,3,1,0,16,4,127,26623,30894,101,410,44,20,16114,625,"74,831",13,4966
SOMERSET,59,29,5,9,0,0,0,0,2,0,16,5689,5777,22,56,8,5,2127,100,"13,784",1,379
TALBOT,123,57,10,30,0,0,0,0,5,1,46,10864,11743,30,123,12,3,5321,262,"28,358",11,935
WASHINGTON,458,186,45,80,0,1,0,0,25,16,167,32460,44210,136,531,62,26,20922,877,"99,224",103,6868
WICOMICO,284,134,29,46,1,0,0,1,18,5,100,27341,23749,94,316,57,15,12647,663,"64,882",18,3008
WORCESTER,192,71,22,35,0,0,0,0,7,3,67,14101,18346,48,191,12,8,7780,497,"40,983",18,2032
TOTAL,"20,062","12,732","1,904","3,742",13,60,10,7,"1,010",294,"7,040","2,267,654","1,010,999","5,965","15,586","2,250","1,101","785,497","41,002","4,130,054","38,428","212,618"
