"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","115","52","8","8","0","0","0","0","2","0","18","16,931","19,451","134","4","151","96","4,858","475","42,100","951","3,073"
"ANNE ARUNDEL","825","1,609","56","87","2","0","4","3","59","9","220","144,242","117,861","809","29","2,198","928","56,728","90","322,885","17,653","34,471"
"BALTIMORE CITY","840","691","57","32","4","0","0","0","48","3","144","291,433","31,725","1,450","12","970","601","37,629","1,386","365,206","290","20,314"
"BALTIMORE CO.","1,088","1,274","109","94","0","0","3","2","70","7","285","291,940","127,762","1,298","23","2,199","1,247","59,689","5,908","490,066","849","33,702"
"CALVERT","240","89","12","17","0","0","0","0","9","1","39","22,833","21,465","109","6","221","127","8,970","536","54,267","29","5,456"
"CAROLINE","28","23","4","2","0","0","0","0","2","1","9","7,576","7,127","33","3","110","53","2,798","89","17,789","13","1,314"
"CARROLL","71","69","9","15","0","0","0","1","10","0","35","33,958","52,983","244","6","656","242","15,567","31","103,687","22","5,685"
"CECIL","154","30","17","17","0","0","2","0","14","1","51","24,168","21,941","135","9","247","182","10,313","777","57,772","17","5,354"
"CHARLES","138","105","16","21","1","0","1","0","16","2","57","47,966","24,599","121","4","611","167","12,186","577","86,231","25","6,919"
"DORCHESTER","75","32","3","0","0","0","0","0","0","0","3","10,257","6,760","23","1","69","38","2,003","159","19,310","86","1,173"
"FREDERICK","362","203","14","27","0","0","4","1","22","7","75","51,209","55,941","339","16","757","363","24,206","35","132,866","93","13,453"
"GARRETT","38","10","4","7","0","0","0","0","3","1","15","5,053","10,928","31","1","77","36","1,551","206","17,883","6","1,483"
"HARFORD","328","3,874","48","33","0","0","2","0","22","0","105","63,637","61,630","272","14","835","442","20,427","677","147,934","213","7,236"
"HOWARD","734","1,349","31","32","1","0","3","1","49","27","144","84,456","54,244","449","14","1,480","431","30,803","1,889","173,766","5,393","19,130"
"KENT","13","13","0","3","0","0","0","0","0","0","3","6,211","4,292","38","2","50","24","1,486","125","12,228","183","780"
"MONTGOMERY","1,654","829","119","162","6","0","14","3","217","12","533","317,938","123,690","1,397","20","5,414","1,161","109,448","2,582","561,650","297","46,658"
"PR. GEORGE'S","756","450","31","32","1","0","1","1","30","25","121","395,569","46,766","660","12","1,511","641","36,739","26,513","508,411","815","10,394"
"QUEEN ANNE'S","32","30","4","6","0","0","0","0","3","0","13","11,502","13,935","64","2","112","90","4,070","231","30,006","21","1,854"
"ST. MARY'S","226","38","3","11","0","0","0","0","9","0","23","25,193","22,758","150","3","205","152","9,682","587","58,730","365","3,444"
"SOMERSET","23","12","6","2","0","0","0","0","0","0","8","7,340","4,063","20","1","41","15","1,401","107","12,988","0","863"
"TALBOT","69","24","6","8","0","0","0","0","1","0","15","10,223","10,877","52","0","71","67","3,410","320","25,020","19","2,698"
"WASHINGTON","599","174","20","37","0","0","2","1","20","2","82","32,419","36,783","216","14","463","215","12,807","946","83,863","755","8,957"
"WICOMICO","920","105","14","5","0","0","0","0","12","3","34","24,886","19,145","98","3","233","118","7,306","566","52,355","635","5,285"
"WORCESTER","92","43","5","9","0","0","0","1","6","2","23","15,396","13,122","65","0","157","82","4,740","460","34,022","42","3,607"
"TOTAL","9,420","11,128","596","667","15","0","36","14","624","103","2,055","1,942,336","909,848","8,207","199","18,838","7,518","478,817","45,272","3,411,035","28,772","243,303"
