"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","111","41","9","14","0","0","0","4","3","30","15,836","19,459","125","14","125","5,347","416","41,322","27","2,754"
"ANNE ARUNDEL","989","423","101","58","3","1","2","56","5","226","142,229","119,522","807","94","1,173","62,501","172","326,498","31","26,666"
"BALTIMORE CITY","2,310","863","95","150","23","2","9","526","28","833","293,778","32,302","1,393","43","743","41,750","1,412","371,421","6","15,860"
"BALTIMORE CO.","949","812","139","71","2","0","9","73","16","310","279,970","125,283","1,297","102","1,552","65,102","5,292","478,598","180","51,224"
"CALVERT","95","48","9","7","0","0","1","12","1","30","22,479","22,075","116","15","160","9,890","496","55,231","39","4,013"
"CAROLINE","47","16","5","4","0","0","0","1","0","10","7,093","7,353","34","8","52","2,876","110","17,526","6","1,230"
"CARROLL","107","72","25","11","0","1","0","17","0","54","32,688","54,479","258","60","332","17,013","778","105,608","14","5,059"
"CECIL","66","45","10","7","0","0","0","15","3","35","23,411","22,474","137","34","211","11,265","806","58,338","12","8,053"
"CHARLES","155","83","38","10","0","0","0","22","2","72","51,085","24,265","135","24","200","13,830","546","90,085","165","8,849"
"DORCHESTER","44","25","7","4","1","0","0","6","1","19","9,921","6,863","21","3","45","2,165","138","19,156","47","1,185"
"FREDERICK","288","370","41","21","1","0","1","33","1","98","51,469","57,547","372","40","492","27,294","54","137,268","16","8,370"
"GARRETT","29","16","3","1","0","0","0","5","0","9","4,797","11,298","39","6","43","1,841","183","18,207","1","1,142"
"HARFORD","276","251","35","23","0","0","4","24","3","89","61,326","63,493","295","41","552","23,364","748","149,819","405","8,371"
"HOWARD","349","191","46","36","1","0","4","29","6","122","85,960","54,979","449","49","612","35,475","1,825","179,349","36","19,251"
"KENT","17","9","4","0","0","0","0","4","0","8","5,907","4,393","36","3","38","1,555","133","12,065","0","1,082"
"MONTGOMERY","1,665","591","133","76","3","1","3","88","2","306","322,352","120,117","1,446","78","1,524","124,662","745","570,924","613","36,103"
"PR. GEORGE'S","1,244","801","66","19","1","0","3","58","41","188","410,895","46,591","751","69","785","46,770","21,701","527,562","121","8,281"
"QUEEN ANNE'S","70","11","5","3","1","0","0","3","0","12","11,097","14,430","58","8","93","4,578","198","30,462","16","1,305"
"ST. MARY'S","128","70","15","7","1","0","2","12","1","38","24,076","23,541","141","14","201","10,418","487","58,878","39","5,852"
"SOMERSET","16","21","6","2","0","0","0","1","2","11","6,976","4,400","21","5","29","1,566","114","13,111","19","771"
"TALBOT","46","10","10","6","1","0","0","1","0","18","9,815","10,809","51","9","86","3,638","296","24,704","2","2,984"
"WASHINGTON","307","109","29","21","0","0","3","24","4","81","31,034","37,109","232","34","264","14,730","116","83,519","51","7,505"
"WICOMICO","137","67","17","11","0","0","1","11","4","44","24,373","19,614","111","13","163","8,114","665","53,053","87","4,737"
"WORCESTER","73","33","15","9","1","0","0","5","1","31","15,093","13,745","67","6","103","5,352","398","34,764","14","2,380"
"TOTAL","9,518","4,978","863","571","39","5","42","1,030","124","2,674","1,943,660","916,141","8,392","772","9,578","541,096","37,829","3,457,468","1,947","233,027"
