"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","369","55","10","6","0","0","0","0","3","3","22","16,862","19,632","113","8","51","3","4,391","432","41,492","294","2,502"
"ANNE ARUNDEL","1,777","276","63","72","2","0","1","0","81","1","220","135,805","119,568","860","96","606","18","54,739","70","311,762","1,664","15,659"
"BALTIMORE CITY","938","228","42","41","7","0","1","0","41","7","139","262,905","31,726","1,595","56","375","27","34,559","1,013","332,256","168","18,671"
"BALTIMORE CO.","4,879","1,218","117","81","5","0","1","0","52","14","270","271,830","126,544","1,308","75","805","8","54,435","5,903","460,908","10,747","27,126"
"CALVERT","81","41","8","12","0","0","1","0","17","2","40","20,609","20,852","101","8","83","0","7,931","504","50,088","38","5,957"
"CAROLINE","43","29","2","2","0","0","0","0","2","0","6","6,782","6,524","26","9","58","1","2,454","139","15,993","430","1,269"
"CARROLL","142","86","25","21","1","0","0","0","14","0","61","32,015","50,795","213","26","148","1","13,528","13","96,739","87","9,761"
"CECIL","144","20","8","16","0","0","0","0","15","3","42","22,556","20,824","117","27","102","1","9,245","728","53,600","314","4,231"
"CHARLES","211","89","10","19","1","0","0","0","12","1","43","37,298","24,242","94","13","91","3","11,055","855","73,651","1,030","8,195"
"DORCHESTER","37","11","2","5","0","0","0","0","1","0","8","9,546","6,605","21","5","19","1","1,880","184","18,261","311","863"
"FREDERICK","289","162","20","31","0","0","4","0","27","1","83","46,880","57,529","347","11","223","4","23,128","72","128,194","239","14,575"
"GARRETT","45","7","4","6","0","0","0","0","1","1","12","5,014","10,904","29","3","27","1","1,348","121","17,447","603","804"
"HARFORD","556","295","20","30","0","0","1","0","13","1","65","58,801","58,112","242","21","221","3","17,570","342","135,312","3,448","12,566"
"HOWARD","902","225","25","25","2","0","2","0","39","5","98","77,220","55,592","439","22","289","10","29,736","1,346","164,654","6,518","16,128"
"KENT","34","4","2","3","0","0","0","0","1","0","6","5,844","4,197","39","0","11","1","1,418","124","11,634","328","516"
"MONTGOMERY","4,436","524","89","119","4","0","0","0","165","7","384","277,045","124,883","1,377","62","731","20","105,670","1,428","511,216","3,447","33,732"
"PR. GEORGE'S","1,504","805","66","70","3","0","1","1","93","104","338","329,904","48,642","634","81","467","27","28,798","34,274","442,827","62","28,631"
"QUEEN ANNE'S","129","17","6","11","0","0","0","0","8","1","26","10,942","13,313","52","5","72","1","3,774","244","28,403","0","843"
"ST. MARY'S","158","45","10","9","0","0","0","0","13","2","34","22,635","21,107","130","17","86","2","8,388","580","52,945","2,445","2,540"
"SOMERSET","21","22","1","4","0","0","0","0","1","0","6","7,054","4,006","12","2","8","0","1,351","106","12,539","215","292"
"TALBOT","40","22","1","3","0","0","1","0","4","0","9","10,128","11,239","61","6","67","2","3,515","334","25,352","278","1,254"
"WASHINGTON","251","70","8","16","1","0","0","0","11","3","39","29,608","35,433","195","13","127","5","10,929","940","77,250","4,146","9,106"
"WICOMICO","249","100","16","12","0","0","0","0","10","3","41","22,982","18,894","87","9","92","0","7,029","585","49,678","5","3,122"
"WORCESTER","103","11","4","5","0","0","0","0","5","1","15","14,645","12,512","54","5","55","1","4,396","408","32,076","151","2,839"
"TOTAL","17,338","4,362","559","619","26","0","13","1","629","160","2,007","1,734,910","903,675","8,146","580","4,814","140","441,267","50,745","3,144,277","36,968","221,182"
