COUNTY,ADDRESS,NAME,DEM,REP,GRN,CONST,LIB,POP,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CONST_ACTIVE,LIB_ACTIVE,POP_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,129,62,14,10,1,0,0,0,8,1,34,"16,743","19,512",116,8,49,3,"4,392",432,"41,255","1,065","2,849"
ANNE ARUNDEL,"2,163",351,65,78,4,1,2,0,61,3,214,"136,724","120,091",869,99,635,18,"55,423",69,"313,928","1,388","15,560"
BALTIMORE CITY,838,279,50,36,5,0,1,0,44,1,137,"262,233","31,695","1,598",56,378,27,"34,660","1,040","331,687",985,"18,499"
BALTIMORE CO.,"2,182",898,118,87,3,0,1,0,72,14,295,"268,031","124,596","1,278",75,815,12,"53,582","2,378","450,767","18,379","37,856"
CALVERT,47,32,6,8,0,0,1,0,5,0,20,"20,374","20,455",102,8,88,0,"7,838",496,"49,361",26,"4,586"
CAROLINE,26,23,2,0,0,0,0,0,2,0,4,"6,679","6,428",23,8,49,1,"2,288",131,"15,607",50,"1,413"
CARROLL,134,93,14,18,0,0,0,0,11,0,43,"32,089","50,880",215,26,155,1,"13,658",13,"97,037",83,"9,674"
CECIL,155,31,16,7,1,0,0,0,12,0,36,"22,651","20,924",120,28,104,1,"9,329",739,"53,896",59,"4,238"
CHARLES,102,113,8,10,0,0,0,0,10,1,29,"37,615","24,290",100,13,90,3,"11,205",877,"74,193",60,"8,178"
DORCHESTER,34,9,2,2,0,0,0,0,1,0,5,"9,452","6,575",20,5,18,1,"1,885",183,"18,139",358,"1,012"
FREDERICK,258,142,12,24,1,0,1,0,30,0,68,"46,755","57,221",353,12,228,4,"23,233",34,"127,840","8,656","3,156"
GARRETT,30,13,4,2,0,0,0,0,1,0,7,"4,817","10,559",27,3,28,1,"1,266",192,"16,893",17,"1,129"
HARFORD,434,343,30,38,1,1,0,0,21,2,93,"58,797","58,150",242,24,230,3,"17,675",355,"135,476",250,"11,583"
HOWARD,403,235,19,42,0,0,2,0,27,8,98,"75,998","54,618",422,23,304,11,"29,285","-3,912","156,749",516,"24,560"
KENT,27,4,1,4,0,0,0,0,2,0,7,"5,878","4,198",39,0,11,1,"1,425",127,"11,679",65,274
MONTGOMERY,"1,494",605,68,89,5,0,3,0,132,2,299,"279,274","125,407","1,396",63,761,23,"106,746","1,554","515,224","9,032","33,861"
PR. GEORGE'S,"1,543",535,62,36,2,0,2,0,35,68,205,"329,376","48,162",632,81,466,28,"29,071","33,825","441,641",452,"28,563"
QUEEN ANNE'S,54,12,9,7,0,0,0,0,8,3,27,"10,854","13,195",53,5,72,1,"3,759",235,"28,174",38,"1,190"
ST. MARY'S,90,25,9,9,0,0,0,0,4,2,24,"21,720","20,066",126,14,86,2,"7,876",550,"50,440",236,"5,091"
SOMERSET,10,7,2,2,0,0,0,0,1,0,5,"7,039","4,006",13,2,10,0,"1,352",106,"12,528",1,294
TALBOT,62,28,5,1,0,0,0,0,2,2,10,"10,062","11,173",61,6,68,2,"3,492",329,"25,193",254,"1,430"
WASHINGTON,307,114,18,27,0,0,0,0,13,6,64,"29,455","35,206",194,13,131,5,"10,907",938,"76,849",83,"7,357"
WICOMICO,145,55,7,10,0,0,0,0,8,1,26,"22,937","18,851",91,9,90,0,"7,013",580,"49,571",237,"3,246"
WORCESTER,68,12,4,5,0,0,0,0,4,0,13,"14,718","12,595",53,5,57,1,"4,421",413,"32,263",28,"2,767"
TOTAL,"10,735","4,021",545,552,23,2,13,0,514,114,"1,763","1,730,271","898,853","8,143",586,"4,923",149,"441,781","41,684","3,126,390","42,318","228,366"
