COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,680,58,12,7,1,0,0,8,0,28,"16,501","19,855",128,12,127,"5,418",444,"42,485",274,"2,886"
ANNE ARUNDEL,"2,924",338,56,55,2,0,2,48,2,165,"146,256","122,132",847,86,"1,175","63,366",157,"334,019",256,"14,718"
BALTIMORE CITY,"1,062",528,54,36,4,0,2,45,3,144,"291,597","32,227","1,417",37,736,"41,039","1,359","368,412","3,750","14,165"
BALTIMORE CO.,"3,312",664,88,53,0,0,2,41,15,199,"283,386","126,556","1,309",93,"1,492","63,701","5,401","481,938","4,416","46,180"
CALVERT,180,31,8,9,0,1,1,3,0,22,"22,752","22,146",113,12,154,"9,822",507,"55,506","1,116","4,898"
CAROLINE,71,15,0,3,0,0,0,2,0,5,"7,069","7,256",32,8,53,"2,845",111,"17,374",280,"1,200"
CARROLL,346,82,18,11,0,1,0,11,2,43,"32,870","54,339",256,60,324,"16,542",777,"105,168",624,"7,097"
CECIL,146,67,14,11,1,0,0,7,0,33,"24,494","22,994",145,32,211,"11,472",860,"60,208","1,313","5,226"
CHARLES,242,108,20,13,0,0,0,10,0,43,"52,069","25,092",137,22,199,"14,106",580,"92,205","1,259","6,814"
DORCHESTER,113,18,5,2,0,0,1,2,0,10,"10,164","6,920",26,4,44,"2,192",145,"19,495",268,792
FREDERICK,210,174,24,20,1,0,1,17,0,63,"50,621","56,736",351,37,451,"26,092",55,"134,343",313,"8,763"
GARRETT,55,9,3,3,0,0,0,3,1,10,"4,860","11,194",40,4,43,"1,752",181,"18,074",391,958
HARFORD,783,164,19,16,1,0,1,19,3,59,"61,702","63,423",280,39,533,"22,618",761,"149,356","2,638","9,652"
HOWARD,489,140,12,14,0,0,1,14,3,44,"86,329","55,229",447,44,588,"34,627","1,822","179,086","12,298","15,734"
KENT,15,10,2,1,0,0,0,2,0,5,"5,911","4,340",37,3,33,"1,517",127,"11,968",0,"1,250"
MONTGOMERY,"1,065",815,82,52,2,0,0,67,1,204,"326,595","123,556","1,468",67,"1,441","124,304",599,"578,030",680,"21,402"
PR. GEORGE'S,844,614,63,22,0,0,1,40,17,143,"407,935","46,733",730,64,754,"44,582","22,271","523,069","9,636","6,281"
QUEEN ANNE'S,240,72,33,9,2,0,1,11,3,59,"11,121","14,202",63,8,96,"4,416",204,"30,110",18,"2,077"
ST. MARY'S,297,52,11,14,0,0,1,15,2,43,"24,738","23,738",149,14,201,"10,474",518,"59,832",472,"5,026"
SOMERSET,18,8,1,1,0,0,0,1,0,3,"7,159","4,369",21,4,30,"1,539",118,"13,240",11,883
TALBOT,34,8,4,0,0,0,0,2,0,6,"10,142","11,044",53,7,87,"3,656",317,"25,306",148,"3,210"
WASHINGTON,229,63,14,11,0,0,0,9,0,34,"31,290","37,059",223,29,239,"14,470",87,"83,397",351,"5,920"
WICOMICO,240,64,18,6,0,0,1,6,2,33,"25,535","20,035",118,11,164,"8,364",671,"54,898","1,109","4,185"
WORCESTER,64,21,3,8,0,0,0,6,2,19,"15,487","13,892",67,5,107,"5,321",427,"35,306",621,"3,226"
TOTAL,"13,659","4,123",564,377,14,2,15,389,56,"1,417","1,956,583","925,067","8,457",702,"9,282","534,235","38,499","3,472,825","42,242","192,543"
