COUNTY,ADDRESS,NAME,DEM,REP,AME,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,AME_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,243,75,28,26,0,0,0,7,2,63,"15,283","20,105",1,112,173,"6,138",402,"42,214",100,"2,993"
ANNE ARUNDEL,"2,254",766,183,267,0,6,15,93,7,571,"149,725","124,909",25,831,"1,560","74,723",257,"352,030","1,593","22,867"
BALTIMORE CITY,"2,374","1,269",106,92,0,7,6,64,11,286,"296,928","30,511",56,"1,232",993,"45,363","1,358","376,441",871,"38,750"
BALTIMORE CO.,"4,496","1,935",343,300,0,6,6,118,41,814,"294,647","130,565",27,"1,277","2,013","79,823","5,475","513,827","5,953","35,653"
CALVERT,554,253,36,38,0,0,1,16,1,92,"23,417","23,657",3,133,231,"11,674",486,"59,601",321,"3,864"
CAROLINE,137,42,15,14,0,0,1,7,2,39,"7,215","7,707",2,31,71,"3,275",145,"18,446",174,"1,459"
CARROLL,491,206,54,73,0,1,0,17,5,150,"32,741","57,802",8,275,500,"20,932",983,"113,241",50,"4,208"
CECIL,391,236,33,31,0,0,0,16,2,82,"23,217","23,924",9,130,261,"12,837",674,"61,052",29,"5,906"
CHARLES,513,222,45,62,0,0,2,15,3,127,"56,681","24,650",6,118,286,"15,988",539,"98,268",767,"7,199"
DORCHESTER,191,49,17,11,0,0,0,5,1,34,"10,497","7,164",2,27,56,"2,599",124,"20,469",67,"1,333"
FREDERICK,"1,045",346,71,126,0,0,6,45,0,248,"53,629","59,770",12,387,669,"32,228",130,"146,825","2,097","11,437"
GARRETT,169,70,13,7,0,0,0,5,3,28,"4,677","11,833",0,41,64,"2,199",190,"19,004",121,999
HARFORD,853,429,136,128,1,0,5,36,8,314,"62,737","67,754",7,307,774,"28,957","1,212","161,748","1,179","7,665"
HOWARD,954,374,77,175,0,0,3,51,15,321,"92,944","56,362",8,485,826,"42,030","2,356","195,011","1,978","10,762"
KENT,104,28,7,11,0,0,1,1,0,20,"6,121","4,558",0,34,54,"1,866",133,"12,766",51,723
MONTGOMERY,"5,070","2,419",291,348,0,5,13,254,44,955,"351,659","123,337",29,"1,517","1,994","145,100","3,197","626,833","3,997","40,155"
PR. GEORGE'S,"3,842","1,844",159,121,0,0,7,106,62,455,"446,778","45,176",51,768,"1,040","59,127","17,250","570,190","21,358","24,027"
QUEEN ANNE'S,226,59,13,22,0,0,2,13,0,50,"11,091","15,310",4,54,130,"5,652",199,"32,440",21,"1,474"
ST. MARY'S,349,179,30,43,0,0,1,5,0,79,"25,443","25,842",11,137,272,"12,709",441,"64,855",766,"3,832"
SOMERSET,65,39,8,11,0,0,0,3,2,24,"6,856","4,563",6,16,24,"1,653",106,"13,224","2,122","1,176"
TALBOT,172,95,16,14,1,0,0,8,1,40,"10,017","11,075",0,49,103,"4,289",240,"25,773",87,"1,528"
WASHINGTON,598,211,64,60,0,1,1,16,3,145,"31,427","38,660",17,228,365,"17,064",327,"88,088",177,"6,558"
WICOMICO,451,213,36,37,0,0,0,23,6,102,"26,355","21,027",12,118,229,"10,118",595,"58,454",266,"3,577"
WORCESTER,309,115,26,23,0,0,0,12,3,64,"15,062","14,670",8,75,148,"6,409",349,"36,721",84,"2,734"
TOTAL,"25,851","11,474","1,807","2,040",2,26,70,936,222,"5,103","2,055,147","950,931",304,"8,382","12,836","642,753","37,168","3,707,521","44,229","240,879"
