"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","","BAR UNAF","OTH","TOTAL","DEM","REP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","431","88","62","35","0","35","15","147","13053","22034","8","7625","669","43,389","0","2476"
"ANNE ARUNDEL","4197","1538","299","471","1","656","116","1,543","169076","135331","56","89464","4664","398,591","0","22554"
"BALTIMORE CITY","5146","1434","147","119","1","429","93","789","305800","30092","65","51750","4477","392,184","0","19586"
"BALTIMORE CO.","6761","3225","631","565","1","723","221","2,141","314893","143359","100","99904","8720","566,976","18","22927"
"CALVERT","491","281","49","73","0","115","29","266","24202","27762","6","14222","931","67,123","1","3425"
"CAROLINE","240","70","27","13","0","18","6","64","6655","9775","0","4124","256","20,810","0","869"
"CARROLL","899","396","86","197","1","180","52","516","33147","63848","19","25598","1822","124,434","0","5925"
"CECIL","567","250","104","63","0","91","30","288","21483","29594","10","15204","1111","67,402","3","5841"
"CHARLES","1292","400","101","58","1","84","23","267","70805","24466","10","19695","1111","116,087","0","7482"
"DORCHESTER","267","85","37","16","0","27","8","88","9793","8532","2","3273","222","21,822","55","964"
"FREDERICK","2077","760","162","223","2","333","56","776","68674","67980","27","42350","1737","180,768","0","10890"
"GARRETT","124","54","17","27","0","23","8","75","4054","13096","3","2604","252","20,009","0","1073"
"HARFORD","1894","678","186","220","0","271","67","744","65153","79099","29","37704","2575","184,560","287","9306"
"HOWARD","2321","958","156","374","1","789","94","1,414","115041","53954","27","51452","3250","223,724","0","10667"
"KENT","128","37","9","9","0","12","5","35","5962","4877","2","2283","180","13,304","0","727"
"MONTGOMERY","6930","4693","496","812","4","1,489","305","3,106","403414","109005","67","149589","9318","671,393","0","61928"
"PR. GEORGE'S","6401","2409","314","143","2","353","181","993","465519","39566","92","76075","13453","594,705","1","32762"
"QUEEN ANNE'S","392","128","32","42","0","37","22","133","10848","18490","5","7106","478","36,927","0","1641"
"ST. MARY'S","762","287","69","99","0","103","26","297","25877","30043","7","15402","1017","72,346","0","6627"
"SOMERSET","148","36","15","4","0","12","5","36","5737","5537","0","1990","150","13,414","0","524"
"TALBOT","245","116","21","38","0","52","7","118","10414","11600","3","5065","378","27,460","0","1234"
"WASHINGTON","1151","322","107","79","0","119","30","335","32473","43282","16","20433","1485","97,689","157","8172"
"WICOMICO","761","232","58","53","1","53","19","184","26602","23395","10","12230","970","63,207","0","3411"
"WORCESTER","445","156","50","29","0","40","15","134","13880","17683","4","7452","607","39,626","0","2455"
"TOTAL","44,070","18,633","3,235","3,762","15","6,044","1,433","14,489","2,222,555","1,012,400","568","762,594","59,833","4,057,950","522","243,466"
