"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","NLM","LIB","GRN","UNAF","OTH","TOTAL","DEM","REP","NLM","LIB","GRN","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","368","244","36","15","0","2","0","55","12","120","10907","23301","67","278","56","8910","502","44,021","0","3755"
"ANNE ARUNDEL","3752","6895","466","295","13","43","10","704","99","1,630","174740","130719","802","2539","470","106349","3759","419,378","3","38816"
"BALTIMORE CITY","6008","6429","537","132","16","24","11","501","92","1,313","301169","29470","758","1278","739","64650","5076","403,140","0","26720"
"BALTIMORE CO.","5659","9672","852","308","12","29","13","919","192","2,325","309642","140636","979","2737","713","120788","6986","582,481","0","34761"
"CALVERT","486","979","56","39","1","4","5","127","17","249","23698","28750","112","457","64","16674","642","70,397","0","5978"
"CAROLINE","176","163","24","12","1","2","0","33","3","75","5998","10981","44","128","26","4916","227","22,320","0","1580"
"CARROLL","817","1506","97","85","1","5","1","159","30","378","33450","64648","145","863","139","30672","1197","131,114","0","7792"
"CECIL","680","862","67","82","2","7","3","135","15","311","19225","35526","145","486","72","17410","821","73,685","0","5462"
"CHARLES","944","1850","145","44","3","9","1","185","18","405","76235","23640","185","456","112","25214","1101","126,943","0","10569"
"DORCHESTER","285","210","19","9","0","2","0","28","4","62","9627","9564","34","116","16","4354","255","23,966","0","1084"
"FREDERICK","1965","3002","237","104","7","18","1","393","50","810","79406","69543","312","1276","232","54623","1490","206,882","0","15804"
"GARRETT","126","94","16","7","0","3","2","14","8","50","3478","13993","25","107","18","3098","182","20,901","0","1468"
"HARFORD","1857","2938","187","116","7","16","4","323","55","708","64869","82006","326","1295","162","45434","2030","196,122","0","14022"
"HOWARD","2081","4311","344","137","4","12","3","481","70","1,051","124288","48942","397","975","264","63650","2184","240,700","0","15422"
"KENT","187","111","16","6","0","1","0","30","3","56","5756","5459","23","72","14","2819","127","14,270","1","857"
"MONTGOMERY","7342","19000","1,708","484","36","54","17","2,062","254","4,615","410090","100358","1251","2535","877","175918","6134","697,163","1","72657"
"PR. GEORGE'S","5505","11241","994","157","22","33","6","952","197","2,361","459608","40765","1178","1668","645","102001","11621","617,486","0","42923"
"QUEEN ANNE'S","396","395","28","18","2","3","0","51","7","109","11265","20593","58","239","45","9015","335","41,550","0","1995"
"ST. MARY'S","769","854","63","43","1","3","1","139","22","272","25107","33146","116","528","66","18294","735","77,992","0","8349"
"SOMERSET","101","96","10","7","0","0","0","9","4","30","5374","6279","21","78","17","2565","151","14,485","0","586"
"TALBOT","259","288","22","19","3","1","0","39","5","89","10633","11728","40","179","24","6069","241","28,914","0","2016"
"WASHINGTON","808","1380","87","53","4","4","4","133","22","307","30869","45118","163","667","127","24310","1000","102,254","0","12328"
"WICOMICO","853","648","88","38","1","8","0","106","16","257","26175","24553","135","389","68","15284","815","67,419","0","5286"
"WORCESTER","405","432","35","17","1","1","0","67","10","131","13714","19977","64","248","42","9270","512","43,827","0","3250"
"TOTAL","41,829","73,600","6,134","2,227","137","284","82","7,645","1,205","17,714","2,235,323","1,019,695 7,380","","19,594","5,008","932,287","48,123","4,267,410","5","333,480"
